file_path,report_file_path,file_size_bytes,is_valid,parse_error,mono_error,z_error,continuous_error,too_large_error,num_orig_segments,num_segments,num_z_layers,largest_layer_num_all_seg,largest_layer_all_seg_z,largest_layer_num_print_seg,largest_layer_print_seg_z,largest_layer_print_dist,larget_layer_print_dist_z
/mnt/r/205891.gcode,GenericReport0.repOut,204116,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6041,6041,39,212,2.75,197,2.75,455.586,5.55
/mnt/r/205958.gcode,GenericReport0.repOut,2352259,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67349,69508,49,1658,9.55,1554,1.15,10693.1,4.55
/mnt/r/2064.gcode,GenericReport0.repOut,68046,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,2020,49,74,0.35,74,0.35,129.361,0.35
/mnt/r/206421.gcode,GenericReport0.repOut,659791,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19070,19220,31,734,3.35,690,1.15,2306.63,2.75
/mnt/r/206811.gcode,GenericReport0.repOut,323083,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9214,9410,15,920,0.95,860,0.95,2350.81,1.75
/mnt/r/206887.gcode,GenericReport0.repOut,4578815,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,139270,139270,311,576,8.55,554,8.55,710.718,9.75
/mnt/r/20750.gcode,GenericReport0.repOut,3626369,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,103478,141052,349,6831,0.95,6764,0.95,56699.7,1.55
/mnt/r/208496.gcode,GenericReport0.repOut,1719553,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44639,51254,547,612,19.95,581,19.95,4082.14,19.15
/mnt/r/208956.gcode,GenericReport0.repOut,255808,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6777,6777,80,143,10.75,125,10.75,242.42,10.75
/mnt/r/209007.gcode,GenericReport0.repOut,1212118,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37287,37539,99,702,0.35,689,0.35,3359.43,0.35
/mnt/r/20908.gcode,GenericReport0.repOut,1777869,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52356,52480,118,654,2.55,623,2.55,2066.25,0.35
/mnt/r/209150.gcode,GenericReport0.repOut,115739,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3186,3616,29,314,3.15,286,3.15,863.086,0.35
/mnt/r/209154.gcode,GenericReport0.repOut,5941764,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,168566,177446,124,2031,10.15,1866,9.75,9967.74,19.55
/mnt/r/210740.gcode,GenericReport0.repOut,3137043,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,95648,95648,374,320,38.35,313,38.35,561.343,29.95
/mnt/r/2111.gcode,GenericReport0.repOut,1812148,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53084,53232,102,598,20.15,569,20.15,2333.28,7.15
/mnt/r/211539.gcode,GenericReport0.repOut,3690741,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,110140,110642,369,1221,3.55,1175,3.55,4000.94,3.55
/mnt/r/211880.gcode,GenericReport0.repOut,1692721,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38459,38459,277,237,41.55,191,0.35,451.48,4.15
/mnt/r/212340.gcode,GenericReport0.repOut,43992800,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
/mnt/r/21235.gcode,GenericReport0.repOut,9463647,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,282562,283368,139,3099,27.35,3029,27.35,8995.75,27.55
/mnt/r/212981.gcode,GenericReport0.repOut,324030,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9259,9261,24,618,1.15,598,1.15,1035.4,3.55
/mnt/r/212999.gcode,GenericReport0.repOut,293543,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8392,8394,24,613,1.15,587,1.15,901.526,3.55
/mnt/r/213001.gcode,GenericReport0.repOut,660462,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18741,19307,28,757,5.35,709,5.35,3375.05,5.35
/mnt/r/213307.gcode,GenericReport0.repOut,175097,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5121,5121,37,157,0.35,150,0.35,160.175,0.35
/mnt/r/213406.gcode,GenericReport0.repOut,427357,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12386,17901,61,2061,1.15,2025,1.15,16699.2,1.55
/mnt/r/213697.gcode,GenericReport0.repOut,773913,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21395,21690,117,396,3.55,369,3.55,1239.36,3.55
/mnt/r/213732.gcode,GenericReport0.repOut,1046268,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28374,35145,379,980,0.95,953,0.95,7890.55,2.55
/mnt/r/21378.gcode,GenericReport0.repOut,616671,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17688,18162,47,560,9.15,528,9.15,1575.77,9.15
/mnt/r/213814.gcode,GenericReport0.repOut,142499,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4284,4328,19,353,1.35,338,1.35,1422.39,1.55
/mnt/r/213824.gcode,GenericReport0.repOut,485385,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13362,13488,14,1074,2.55,975,2.55,2159.01,0.35
/mnt/r/214027.gcode,GenericReport0.repOut,787563,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22893,23099,47,1072,2.15,1007,2.15,5247.59,2.15
/mnt/r/214276.gcode,GenericReport0.repOut,2642483,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,79798,85532,317,841,61.15,805,61.15,1270.63,63.15
/mnt/r/21469.gcode,GenericReport0.repOut,5831431,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,178021,178316,271,1419,1.15,1396,0.95,4534.36,0.35
/mnt/r/215630.gcode,GenericReport0.repOut,270258,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7741,7854,24,401,3.55,389,3.55,1196.09,3.55
/mnt/r/215633.gcode,GenericReport0.repOut,6160,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57,127,1,127,0.35,119,0.35,2042.33,0.35
/mnt/r/215686.gcode,GenericReport0.repOut,1004246,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28039,28746,14,2322,2.55,2147,2.55,6884.02,2.55
/mnt/r/21577.gcode,GenericReport0.repOut,4010426,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,118926,118929,133,2015,3.15,1930,3.15,2345.11,0.35
/mnt/r/216424.gcode,GenericReport0.repOut,57620,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1227,1652,12,233,0.35,200,0.35,1793.36,0.35
/mnt/r/216501.gcode,GenericReport0.repOut,936628,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26683,27460,89,477,4.15,457,4.15,2564.46,0.35
/mnt/r/216708.gcode,GenericReport0.repOut,3288431,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,97116,97116,213,997,24.55,951,24.55,574.03,24.15
/mnt/r/216812.gcode,GenericReport0.repOut,3040060,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,88910,88910,200,1032,18.15,986,18.15,658.61,16.95
/mnt/r/216909.gcode,GenericReport0.repOut,14657727,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,416244,418226,167,7812,3.15,7326,3.15,9822.03,0.75
/mnt/r/218896.gcode,GenericReport0.repOut,413293,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12846,12846,49,359,0.35,352,0.35,220.088,0.35
/mnt/r/218968.gcode,GenericReport0.repOut,967499,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27695,27876,99,1869,2.95,1755,2.95,3256.01,0.35
/mnt/r/21910.gcode,GenericReport0.repOut,1952166,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57088,59234,49,1355,0.55,1326,0.55,5734.3,9.55
/mnt/r/219227.gcode,GenericReport0.repOut,2281779,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67347,67812,104,1128,4.15,1083,9.55,2229.74,0.35
/mnt/r/219511.gcode,GenericReport0.repOut,1813460,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53543,55848,39,1823,2.55,1741,2.55,10046.0,7.55
/mnt/r/219858.gcode,GenericReport0.repOut,20990,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,406,406,25,25,1.75,24,0.35,49.54,0.35
/mnt/r/219964.gcode,GenericReport0.repOut,2815117,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,83568,83568,42,2554,0.95,2499,0.55,4164.23,1.35
/mnt/r/220083.gcode,GenericReport0.repOut,9857154,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,292678,293143,299,1478,47.15,1419,47.15,2989.13,47.15
/mnt/r/220874.gcode,GenericReport0.repOut,203883,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5653,5714,49,162,6.55,144,6.55,584.027,0.35
/mnt/r/22090.gcode,GenericReport0.repOut,4239667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,123601,132683,94,6305,1.15,6240,1.15,50864.0,3.55
/mnt/r/221137.gcode,GenericReport0.repOut,234686,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7224,7555,29,289,1.55,282,1.55,764.346,0.35
/mnt/r/221155.gcode,GenericReport0.repOut,5554480,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,158495,160604,658,2688,1.55,2600,1.55,18222.9,0.35
/mnt/r/221924.gcode,GenericReport0.repOut,363129,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10840,11007,24,606,4.95,565,4.95,1131.03,0.35
/mnt/r/221940.gcode,GenericReport0.repOut,405505,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11410,13285,53,1679,0.95,1623,0.95,10576.6,0.95
/mnt/r/222.gcode,GenericReport0.repOut,710346,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20118,20130,72,812,5.75,748,5.75,1773.95,6.15
/mnt/r/222312.gcode,GenericReport0.repOut,1731423,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51209,51705,14,4242,0.75,4095,0.75,8597.56,0.75
/mnt/r/222377.gcode,GenericReport0.repOut,3600556,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,109585,111107,107,1627,19.75,1611,19.75,6318.42,20.15
/mnt/r/222452.gcode,GenericReport0.repOut,349939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10096,13405,49,1067,0.35,1049,0.35,12685.1,1.15
/mnt/r/222544.gcode,GenericReport0.repOut,3821460,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,109219,111784,13,16325,0.95,15434,0.95,23739.2,0.35
/mnt/r/222813.gcode,GenericReport0.repOut,57982,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1739,1739,14,130,0.35,124,0.35,151.016,0.35
/mnt/r/222822.gcode,GenericReport0.repOut,765222,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20987,22582,49,3014,0.35,2746,0.35,7562.89,0.95
/mnt/r/22297.gcode,GenericReport0.repOut,293096,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8470,8651,100,987,0.95,931,0.95,4212.89,0.35
/mnt/r/22305.gcode,GenericReport0.repOut,4033819,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,120663,123329,86,2065,9.75,2009,0.95,14187.7,9.75
/mnt/r/223195.gcode,GenericReport0.repOut,54772,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,991,991,35,83,7.75,64,7.75,54.311,0.35
/mnt/r/223233.gcode,GenericReport0.repOut,546359,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16830,16830,49,481,6.15,472,6.15,569.515,6.15
/mnt/r/223304.gcode,GenericReport0.repOut,623347,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19432,19434,44,875,0.35,850,0.35,817.963,0.35
/mnt/r/223394.gcode,GenericReport0.repOut,3577052,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,102267,106893,259,1870,6.15,1788,6.15,8493.59,0.35
/mnt/r/223619.gcode,GenericReport0.repOut,2142141,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61811,73848,104,1562,2.55,1520,2.55,9253.03,0.35
/mnt/r/224246.gcode,GenericReport0.repOut,2402156,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,68649,70877,49,1663,6.55,1554,1.15,10693.1,4.55
/mnt/r/224601.gcode,GenericReport0.repOut,417077,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10446,10935,4,5683,0.95,4794,0.95,12174.1,0.75
/mnt/r/224838.gcode,GenericReport0.repOut,256872,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7368,7921,19,731,1.55,690,1.55,3634.1,1.55
/mnt/r/224932.gcode,GenericReport0.repOut,2163496,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61227,65067,219,583,6.55,546,6.55,2354.2,0.35
/mnt/r/225150.gcode,GenericReport0.repOut,14148034,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,402345,404967,167,7812,3.15,7326,3.15,9822.03,0.75
/mnt/r/225935.gcode,GenericReport0.repOut,2666980,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,81357,84949,99,908,9.55,867,9.55,6180.88,19.55
/mnt/r/226349.gcode,GenericReport0.repOut,1879916,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56068,56147,138,1057,4.95,1021,4.95,978.597,4.95
/mnt/r/22644.gcode,GenericReport0.repOut,18772242,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,563330,563980,340,2291,20.55,2259,20.55,7906.04,0.35
/mnt/r/228468.gcode,GenericReport0.repOut,832270,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23694,24208,107,356,0.95,339,0.95,1897.32,19.55
/mnt/r/228589.gcode,GenericReport0.repOut,328114,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9484,9484,49,239,0.35,227,0.35,375.158,0.35
/mnt/r/228760.gcode,GenericReport0.repOut,13826571,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,402238,402934,99,6547,18.35,6087,18.35,14052.8,0.35
/mnt/r/231224.gcode,GenericReport0.repOut,509828,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14860,15706,44,1171,2.15,1135,2.15,7981.83,2.55
/mnt/r/231329.gcode,GenericReport0.repOut,8949265,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,266428,266601,282,1758,35.15,1642,35.15,4170.12,34.15
/mnt/r/23212.gcode,GenericReport0.repOut,491516,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13496,14346,132,628,0.95,596,0.95,4464.64,2.55
/mnt/r/232235.gcode,GenericReport0.repOut,3251668,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,96458,98384,394,1291,0.95,1246,0.95,8980.92,3.35
/mnt/r/233263.gcode,GenericReport0.repOut,727196,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21001,23345,55,2863,0.95,2713,0.95,11351.2,0.95
/mnt/r/233512.gcode,GenericReport0.repOut,288509,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8780,8780,119,142,0.35,139,0.35,113.109,0.35
/mnt/r/233695.gcode,GenericReport0.repOut,1063314,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28750,31479,149,443,13.55,408,11.15,2373.91,10.95
/mnt/r/234480.gcode,GenericReport0.repOut,5448879,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,156370,156372,391,608,17.35,564,17.35,1402.36,57.95
/mnt/r/235577.gcode,GenericReport0.repOut,368731,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10643,10717,24,542,2.55,523,2.55,1497.44,2.55
/mnt/r/235664.gcode,GenericReport0.repOut,826883,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23574,24088,107,356,0.95,339,0.95,1897.32,19.55
/mnt/r/235789.gcode,GenericReport0.repOut,15488,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,336,336,9,58,0.35,55,0.35,149.011,0.35
/mnt/r/235848.gcode,GenericReport0.repOut,2714422,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,76595,76595,49,1740,1.95,1606,1.95,4120.91,1.95
/mnt/r/236217.gcode,GenericReport0.repOut,1269444,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33205,34793,129,713,24.35,675,24.35,5235.14,24.35
/mnt/r/236235.gcode,GenericReport0.repOut,2293380,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67726,67737,211,495,9.15,461,9.15,1192.38,11.55
/mnt/r/236661.gcode,GenericReport0.repOut,477744,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13813,16588,55,1479,1.15,1437,1.15,11660.9,1.15
/mnt/r/236703.gcode,GenericReport0.repOut,1668101,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,46353,46353,69,818,4.55,675,4.55,704.944,0.35
/mnt/r/236981.gcode,GenericReport0.repOut,452873,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13320,13320,94,212,5.35,192,5.35,786.631,13.55
/mnt/r/237117.gcode,GenericReport0.repOut,480284,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14386,14526,39,480,0.35,458,0.55,1289.74,4.15
/mnt/r/237149.gcode,GenericReport0.repOut,1248780,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32616,34210,129,710,24.35,675,24.35,5198.22,24.35
/mnt/r/237375.gcode,GenericReport0.repOut,2318425,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67152,129679,729,2590,0.95,2545,0.95,21294.8,3.35
/mnt/r/237597.gcode,GenericReport0.repOut,454481,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13356,13930,19,922,2.15,892,2.15,4875.29,2.55
/mnt/r/237904.gcode,GenericReport0.repOut,1111570,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34555,34555,90,572,5.75,556,5.75,763.674,0.35
/mnt/r/23800.gcode,GenericReport0.repOut,906661,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27514,27514,85,390,0.35,374,0.35,292.125,0.35
/mnt/r/238160.gcode,GenericReport0.repOut,1390515,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,39142,40731,58,6512,0.75,5691,0.75,8111.35,0.95
/mnt/r/238168.gcode,GenericReport0.repOut,11677490,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,348344,348390,649,847,75.15,821,75.15,1890.99,0.35
/mnt/r/239801.gcode,GenericReport0.repOut,518589,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14893,15563,66,947,2.55,916,2.55,3733.19,2.55
/mnt/r/239816.gcode,GenericReport0.repOut,84409,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1407,1407,33,89,1.95,61,1.95,61.994,0.35
/mnt/r/239892.gcode,GenericReport0.repOut,10889384,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,307386,310039,202,4919,3.35,4642,3.35,17452.5,3.55
/mnt/r/24077.gcode,GenericReport0.repOut,1894909,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,54769,57291,19,3314,2.15,3124,2.15,17699.3,3.55
/mnt/r/240848.gcode,GenericReport0.repOut,283100,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8421,8494,31,510,0.35,493,0.35,1617.16,2.55
/mnt/r/240939.gcode,GenericReport0.repOut,212481,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5482,5654,14,403,0.55,351,0.55,1594.29,0.55
/mnt/r/24098.gcode,GenericReport0.repOut,3454637,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,105641,105641,261,538,38.15,528,38.15,952.234,0.55
/mnt/r/241248.gcode,GenericReport0.repOut,668917,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19980,20261,24,1170,2.55,1103,2.55,5115.67,2.55
/mnt/r/241381.gcode,GenericReport0.repOut,369154,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11540,11540,44,536,0.35,519,0.35,448.665,0.35
/mnt/r/241463.gcode,GenericReport0.repOut,722456,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19542,19769,39,996,5.75,953,5.75,2537.39,5.75
/mnt/r/241487.gcode,GenericReport0.repOut,12105083,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,354372,354377,157,3314,9.35,3207,9.35,3983.95,29.55
/mnt/r/242443.gcode,GenericReport0.repOut,23886274,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,715359,715477,540,2661,0.75,2536,0.75,4138.38,0.95
/mnt/r/245260.gcode,GenericReport0.repOut,105099,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3011,3128,9,393,1.55,363,1.55,1795.29,0.35
/mnt/r/245271.gcode,GenericReport0.repOut,9106248,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,277018,278074,349,1575,1.35,1555,1.35,8242.1,1.55
/mnt/r/246397.gcode,GenericReport0.repOut,815149,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21082,21082,303,139,48.95,125,48.95,395.539,27.75
/mnt/r/246562.gcode,GenericReport0.repOut,2476424,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70939,74737,13,8915,1.75,8383,2.15,23739.2,0.35
/mnt/r/246773.gcode,GenericReport0.repOut,1934620,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52261,53339,14,4587,2.55,4178,2.55,10375.7,2.55
/mnt/r/24694.gcode,GenericReport0.repOut,1886614,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56477,57373,89,746,4.55,713,4.55,2532.64,17.55
/mnt/r/247039.gcode,GenericReport0.repOut,2765897,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,76518,76520,583,315,40.35,285,40.35,793.084,98.15
/mnt/r/247467.gcode,GenericReport0.repOut,281822,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8008,8008,67,192,10.95,186,10.95,642.566,1.95
/mnt/r/247477.gcode,GenericReport0.repOut,1730741,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44329,44329,51,1356,6.75,1156,6.75,3030.41,1.75
/mnt/r/247837.gcode,GenericReport0.repOut,2014196,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,59480,63793,13,8327,1.55,8020,1.55,23739.2,0.35
/mnt/r/248197.gcode,GenericReport0.repOut,323389,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9340,9394,30,504,0.95,463,0.95,1737.08,0.35
/mnt/r/248220.gcode,GenericReport0.repOut,10718619,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,311707,312276,249,1949,4.95,1877,4.95,8624.83,41.95
/mnt/r/249023.gcode,GenericReport0.repOut,719568,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20108,21536,48,4235,0.95,3905,0.95,8591.06,0.55
/mnt/r/249144.gcode,GenericReport0.repOut,917426,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26958,27751,99,336,0.35,333,0.35,594.72,0.35
/mnt/r/249332.gcode,GenericReport0.repOut,1522763,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41957,43542,58,8501,0.35,7739,0.35,9494.55,0.95
/mnt/r/249452.gcode,GenericReport0.repOut,305503,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8754,10589,48,1261,0.95,1227,0.95,10477.7,0.55
/mnt/r/249463.gcode,GenericReport0.repOut,177683,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5313,5313,9,612,0.35,582,0.35,786.538,0.35
/mnt/r/249618.gcode,GenericReport0.repOut,1922647,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55001,57213,124,2764,1.35,2703,1.35,19265.6,1.75
